Iteration;Time;BestFitness;CurrentFitness;Threshold
2;0,002;0,10090633437175456;0,10090633437175456;0,10090633437175456
3;0,008;0,10081287642782932;0,10090633437175456;0,10090633437175456
4;0,009;0,10081287642782932;0,10081287642782932;0,10090633437175456
6;0,018;0,10080290758047739;0,10081287642782932;0,10081287642782932
7;0,024;0,10069283489096537;0,10080290758047739;0,10080290758047739
9;0,03;0,09731917772573484;0,10069283489096537;0,10069283489096537
10;0,084;0,09731917772573484;0,09731917772573484;0,10069283489096537
11;0,092;0,09731085089773572;0,09731917772573484;0,09731917772573484
13;0,1;0,09621358313817308;0,09731085089773572;0,09731085089773572
14;0,111;0,0961417642466822;0,09621358313817308;0,09621358313817308
16;0,12;0,09336338028168989;0,0961417642466822;0,0961417642466822
17;0,121;0,09336338028168989;0,09336338028168989;0,0961417642466822
18;0,124;0,09336338028168989;0,09336338028168989;0,0961417642466822
19;0,126;0,09336338028168989;0,09336338028168989;0,0961417642466822
20;0,132;0,09293291601460607;0,09336338028168989;0,09336338028168989
21;0,14;0,09215565988523733;0,09293291601460607;0,09293291601460607
23;0,151;0,08923754248366011;0,09215565988523733;0,09215565988523733
24;0,157;0,08911728104575167;0,08923754248366011;0,08923754248366011
25;0,164;0,08866781699346404;0,08911728104575167;0,08911728104575167
27;0,171;0,08511362683438173;0,08866781699346404;0,08866781699346404
28;0,177;0,08500901467505262;0,08511362683438173;0,08511362683438173
30;0,188;0,08459182389937137;0,08500901467505262;0,08500901467505262
31;0,194;0,08456226415094348;0,08459182389937137;0,08459182389937137
32;0,2;0,08394276729559746;0,08456226415094348;0,08456226415094348
35;0,208;0,08081113737851309;0,08394276729559746;0,08394276729559746
37;0,218;0,08037089571841316;0,08081113737851309;0,08081113737851309
38;0,225;0,0797087470449167;0,08037089571841316;0,08037089571841316
40;0,232;0,07666729857819832;0,0797087470449167;0,0797087470449167
41;0,242;0,07663949447077334;0,07666729857819832;0,07666729857819832
42;0,252;0,0764884676145331;0,07663949447077334;0,07663949447077334
46;0,262;0,0764821484992092;0,0764884676145331;0,0764884676145331
47;0,264;0,0764821484992092;0,0764821484992092;0,0764884676145331
49;0,271;0,07595703001579668;0,0764821484992092;0,0764821484992092
51;0,282;0,07592669826224219;0,07595703001579668;0,07595703001579668
52;0,288;0,075908794102158;0,07592669826224219;0,07592669826224219
53;0,295;0,07590837282780305;0,075908794102158;0,075908794102158
54;0,303;0,07590331753554402;0,07590837282780305;0,07590837282780305
55;0,305;0,07590331753554402;0,07590331753554402;0,07590837282780305
56;0,307;0,07590331753554402;0,07590331753554402;0,07590837282780305
57;0,309;0,07590331753554402;0,07590331753554402;0,07590837282780305
58;0,311;0,07590331753554402;0,07590331753554402;0,07590837282780305
59;0,314;0,07590331753554402;0,07590331753554402;0,07590837282780305
60;0,317;0,07590331753554402;0,07590331753554402;0,07590837282780305
62;0,326;0,07589805160610752;0,07590331753554402;0,07590331753554402
63;0,328;0,07589805160610752;0,07589805160610752;0,07590331753554402
64;0,332;0,07589805160610752;0,07589805160610752;0,07590331753554402
65;0,334;0,07589805160610752;0,07589805160610752;0,07590331753554402
67;0,338;0,07589805160610752;0,07589805160610752;0,07590331753554402
68;0,34;0,07589805160610752;0,07589805160610752;0,07590331753554402
69;0,342;0,07589805160610752;0,07589805160610752;0,07590331753554402
70;0,345;0,07589805160610752;0,07589805160610752;0,07590331753554402
71;0,347;0,07589805160610752;0,07589805160610752;0,07590331753554402
72;0,357;0,07588520273828225;0,07589805160610752;0,07589805160610752
74;0,364;0,07588436018957245;0,07588520273828225;0,07588520273828225
75;0,373;0,07575587151132057;0,07588436018957245;0,07588436018957245
76;0,377;0,07575587151132057;0,07575587151132057;0,07588436018957245
77;0,384;0,0723678015307454;0,07575587151132057;0,07575587151132057
78;0,389;0,07216447611506804;0,0723678015307454;0,0723678015307454
79;0,396;0,07111723409870485;0,07216447611506804;0,07216447611506804
80;0,402;0,06808698412698211;0,07111723409870485;0,07111723409870485
81;0,408;0,06794222222222002;0,06808698412698211;0,06808698412698211
82;0,415;0,06747301587301358;0,06794222222222002;0,06794222222222002
83;0,421;0,06672910052909808;0,06747301587301358;0,06747301587301358
84;0,427;0,06367944842216655;0,06672910052909808;0,06672910052909808
85;0,432;0,06367944842216655;0,06367944842216655;0,06672910052909808
86;0,434;0,06367944842216655;0,06367944842216655;0,06672910052909808
87;0,448;0,06305913550782005;0,06367944842216655;0,06367944842216655
90;0,468;0,06304025457438056;0,06305913550782005;0,06305913550782005
91;0,479;0,06303431450543318;0,06304025457438056;0,06304025457438056
92;0,485;0,06303261734287668;0,06303431450543318;0,06303431450543318
94;0,492;0,06239978785467715;0,06303261734287668;0,06303261734287668
96;0,499;0,06234378149031761;0,06239978785467715;0,06239978785467715
97;0,505;0,062343569344998184;0,06234378149031761;0,06234378149031761
98;0,513;0,062320233359848154;0,062343569344998184;0,062343569344998184
100;0,52;0,06231768761601364;0,062320233359848154;0,062320233359848154
101;0,522;0,06231768761601364;0,06231768761601364;0,062320233359848154
103;0,525;0,06231768761601364;0,06231768761601364;0,062320233359848154
105;0,528;0,06231768761601364;0,06231768761601364;0,062320233359848154
106;0,53;0,06231768761601364;0,06231768761601364;0,062320233359848154
107;0,538;0,06231302041898379;0,06231768761601364;0,06231768761601364
109;0,541;0,06231302041898379;0,06231302041898379;0,06231768761601364
110;0,543;0,06231302041898379;0,06231302041898379;0,06231768761601364
111;0,545;0,06231302041898379;0,06231302041898379;0,06231768761601364
112;0,547;0,06231302041898379;0,06231302041898379;0,06231768761601364
113;0,549;0,06231302041898379;0,06231302041898379;0,06231768761601364
114;0,551;0,06231302041898379;0,06231302041898379;0,06231768761601364
116;0,556;0,06231302041898379;0,06231302041898379;0,06231768761601364
117;0,558;0,06231302041898379;0,06231302041898379;0,06231768761601364
119;0,563;0,06231302041898379;0,06231302041898379;0,06231768761601364
120;0,565;0,06231302041898379;0,06231302041898379;0,06231768761601364
121;0,567;0,06231302041898379;0,06231302041898379;0,06231768761601364
122;0,569;0,06231302041898379;0,06231302041898379;0,06231768761601364
123;0,578;0,06226210554229328;0,06231302041898379;0,06231302041898379
130;0,59;0,05931823498138955;0,06226210554229328;0,06226210554229328
131;0,596;0,059298458266876075;0,05931823498138955;0,05931823498138955
132;0,603;0,05929739500265485;0,059298458266876075;0,059298458266876075
133;0,605;0,05929739500265485;0,05929739500265485;0,059298458266876075
134;0,607;0,05929739500265485;0,05929739500265485;0,059298458266876075
135;0,609;0,05929739500265485;0,05929739500265485;0,059298458266876075
136;0,61;0,05929739500265485;0,05929739500265485;0,059298458266876075
137;0,612;0,05929739500265485;0,05929739500265485;0,059298458266876075
139;0,615;0,05929739500265485;0,05929739500265485;0,059298458266876075
140;0,617;0,05929739500265485;0,05929739500265485;0,059298458266876075
141;0,619;0,05929739500265485;0,05929739500265485;0,059298458266876075
142;0,621;0,05929739500265485;0,05929739500265485;0,059298458266876075
143;0,623;0,05929739500265485;0,05929739500265485;0,059298458266876075
144;0,627;0,05929739500265485;0,05929739500265485;0,059298458266876075
145;0,63;0,05929739500265485;0,05929739500265485;0,059298458266876075
146;0,635;0,05929739500265485;0,05929739500265485;0,059298458266876075
147;0,637;0,05929739500265485;0,05929739500265485;0,059298458266876075
149;0,64;0,05929739500265485;0,05929739500265485;0,059298458266876075
150;0,642;0,05929739500265485;0,05929739500265485;0,059298458266876075
151;0,644;0,05929739500265485;0,05929739500265485;0,059298458266876075
153;0,647;0,05929739500265485;0,05929739500265485;0,059298458266876075
155;0,65;0,05929739500265485;0,05929739500265485;0,059298458266876075
156;0,655;0,05929739500265485;0,05929739500265485;0,059298458266876075
157;0,657;0,05929739500265485;0,05929739500265485;0,059298458266876075
158;0,659;0,05929739500265485;0,05929739500265485;0,059298458266876075
159;0,662;0,05929739500265485;0,05929739500265485;0,059298458266876075
160;0,664;0,05929739500265485;0,05929739500265485;0,059298458266876075
162;0,667;0,05929739500265485;0,05929739500265485;0,059298458266876075
163;0,669;0,05929739500265485;0,05929739500265485;0,059298458266876075
166;0,673;0,05929739500265485;0,05929739500265485;0,059298458266876075
167;0,675;0,05929739500265485;0,05929739500265485;0,059298458266876075
169;0,682;0,05929739500265485;0,05929739500265485;0,059298458266876075
170;0,684;0,05929739500265485;0,05929739500265485;0,059298458266876075
171;0,686;0,05929739500265485;0,05929739500265485;0,059298458266876075
173;0,689;0,05929739500265485;0,05929739500265485;0,059298458266876075
174;0,692;0,05929739500265485;0,05929739500265485;0,059298458266876075
175;0,694;0,05929739500265485;0,05929739500265485;0,059298458266876075
176;0,696;0,05929739500265485;0,05929739500265485;0,059298458266876075
177;0,698;0,05929739500265485;0,05929739500265485;0,059298458266876075
178;0,7;0,05929739500265485;0,05929739500265485;0,059298458266876075
179;0,704;0,05929739500265485;0,05929739500265485;0,059298458266876075
180;0,705;0,05929739500265485;0,05929739500265485;0,059298458266876075
181;0,707;0,05929739500265485;0,05929739500265485;0,059298458266876075
182;0,708;0,05929739500265485;0,05929739500265485;0,059298458266876075
183;0,71;0,05929739500265485;0,05929739500265485;0,059298458266876075
184;0,715;0,05929739500265485;0,05929739500265485;0,059298458266876075
185;0,717;0,05929739500265485;0,05929739500265485;0,059298458266876075
186;0,719;0,05929739500265485;0,05929739500265485;0,059298458266876075
188;0,721;0,05929739500265485;0,05929739500265485;0,059298458266876075
189;0,723;0,05929739500265485;0,05929739500265485;0,059298458266876075
190;0,725;0,05929739500265485;0,05929739500265485;0,059298458266876075
191;0,727;0,05929739500265485;0,05929739500265485;0,059298458266876075
192;0,736;0,05923040935672186;0,05929739500265485;0,05929739500265485
193;0,741;0,059222966507173735;0,05923040935672186;0,05923040935672186
194;0,747;0,059091121743749975;0,059222966507173735;0,059222966507173735
197;0,757;0,05909048378521742;0,059091121743749975;0,059091121743749975
199;0,764;0,05906028708133637;0,05909048378521742;0,05909048378521742
202;0,768;0,05906028708133637;0,05906028708133637;0,05909048378521742
203;0,77;0,05906028708133637;0,05906028708133637;0,05909048378521742
206;0,775;0,05906028708133637;0,05906028708133637;0,05909048378521742
207;0,783;0,05905858585858248;0,05906028708133637;0,05906028708133637
208;0,791;0,05904965443912491;0,05905858585858248;0,05905858585858248
209;0,797;0,059041998936732454;0,05904965443912491;0,05904965443912491
210;0,8;0,059041998936732454;0,059041998936732454;0,05904965443912491
211;0,809;0,05899521531100127;0,059041998936732454;0,059041998936732454
212;0,815;0,05899436469962449;0,05899521531100127;0,05899521531100127
214;0,818;0,05899436469962449;0,05899436469962449;0,05899521531100127
216;0,82;0,05899436469962449;0,05899436469962449;0,05899521531100127
218;0,827;0,05868814460393057;0,05899436469962449;0,05899436469962449
219;0,833;0,05867177033492477;0,05868814460393057;0,05868814460393057
220;0,841;0,05867028176501521;0,05867177033492477;0,05867177033492477
221;0,847;0,058652418926099625;0,05867028176501521;0,05867028176501521
222;0,85;0,058652418926099625;0,058652418926099625;0,05867028176501521
223;0,854;0,058652418926099625;0,058652418926099625;0,05867028176501521
224;0,857;0,058652418926099625;0,058652418926099625;0,05867028176501521
225;0,863;0,05864646464646117;0,058652418926099625;0,058652418926099625
226;0,869;0,05864476342370728;0,05864646464646117;0,05864646464646117
227;0,874;0,05864476342370728;0,05864476342370728;0,05864646464646117
228;0,878;0,05864476342370728;0,05864476342370728;0,05864646464646117
