Iteration;Time;BestFitness;Call-0;Best-0;Imp-0;Eq-0;Wrs-0;Tm-0;Call-1;Best-1;Imp-1;Eq-1;Wrs-1;Tm-1;Call-2;Best-2;Imp-2;Eq-2;Wrs-2;Tm-2;Call-3;Best-3;Imp-3;Eq-3;Wrs-3;Tm-3;Call-4;Best-4;Imp-4;Eq-4;Wrs-4;Tm-4;Call-5;Best-5;Imp-5;Eq-5;Wrs-5;Tm-5;Call-6;Best-6;Imp-6;Eq-6;Wrs-6;Tm-6;Call-7;Best-7;Imp-7;Eq-7;Wrs-7;Tm-7;
1;0,0;0,10090633437175456;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
3;0,008;0,10081287642782932;0;0;0;0;0;0,0;0;0;0;0;0;0,0;1;1;1;0;0;0,001683207;1;0;0;1;0;0,001727936;0;0;0;0;0;0,0;1;0;0;0;1;9,32948E-4;0;0;0;0;0;0,0;0;0;0;0;0;0,0;
6;0,018;0,10080290758047739;1;0;0;0;1;0,001152835;1;0;0;1;0;0,001048844;1;1;1;0;0;0,001683207;1;0;0;1;0;0,001727936;0;0;0;0;0;0,0;1;0;0;0;1;9,32948E-4;1;1;1;0;0;0,003172619;0;0;0;0;0;0,0;
7;0,023;0,10069283489096537;1;0;0;0;1;0,001152835;2;1;1;1;0;0,002206067;1;1;1;0;0;0,001683207;1;0;0;1;0;0,001727936;0;0;0;0;0;0,0;1;0;0;0;1;9,32948E-4;1;1;1;0;0;0,003172619;0;0;0;0;0;0,0;
9;0,03;0,09731917772573484;1;0;0;0;1;0,001152835;3;2;2;1;0;0,004000554;1;1;1;0;0;0,001683207;1;0;0;1;0;0,001727936;0;0;0;0;0;0,0;2;0;0;0;2;0,001870234;1;1;1;0;0;0,003172619;0;0;0;0;0;0,0;
11;0,092;0,09731085089773572;1;0;0;0;1;0,001152835;3;2;2;1;0;0,004000554;2;2;2;0;0;0,003556909;1;0;0;1;0;0,001727936;0;0;0;0;0;0,0;2;0;0;0;2;0,001870234;1;1;1;0;0;0,003172619;1;0;0;1;0;0,05374324;
13;0,1;0,09621358313817308;2;0;0;0;2;0,00202217;3;2;2;1;0;0,004000554;3;3;3;0;0;0,005682309;1;0;0;1;0;0,001727936;0;0;0;0;0;0,0;2;0;0;0;2;0,001870234;1;1;1;0;0;0,003172619;1;0;0;1;0;0,05374324;
14;0,111;0,0961417642466822;2;0;0;0;2;0,00202217;3;2;2;1;0;0,004000554;3;3;3;0;0;0,005682309;1;0;0;1;0;0,001727936;1;1;1;0;0;0,006676024;2;0;0;0;2;0,001870234;1;1;1;0;0;0,003172619;1;0;0;1;0;0,05374324;
16;0,12;0,09336338028168989;2;0;0;0;2;0,00202217;4;3;3;1;0;0,005969912;3;3;3;0;0;0,005682309;1;0;0;1;0;0,001727936;1;1;1;0;0;0,006676024;3;0;0;0;3;0,002960357;1;1;1;0;0;0,003172619;1;0;0;1;0;0,05374324;
20;0,132;0,09293291601460607;2;0;0;0;2;0,00202217;5;3;3;2;0;0,007020065;4;4;4;0;0;0,00783222;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;3;0;0;0;3;0,002960357;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
21;0,14;0,09215565988523733;2;0;0;0;2;0,00202217;5;3;3;2;0;0,007020065;5;5;5;0;0;0,010158398;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;3;0;0;0;3;0,002960357;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
23;0,151;0,08923754248366011;3;0;0;0;3;0,002883785;5;3;3;2;0;0,007020065;6;6;6;0;0;0,012216467;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;3;0;0;0;3;0,002960357;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
24;0,157;0,08911728104575167;3;0;0;0;3;0,002883785;5;3;3;2;0;0,007020065;7;7;7;0;0;0,01457954;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;3;0;0;0;3;0,002960357;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
25;0,164;0,08866781699346404;3;0;0;0;3;0,002883785;5;3;3;2;0;0,007020065;8;8;8;0;0;0,016699016;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;3;0;0;0;3;0,002960357;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
27;0,171;0,08511362683438173;3;0;0;0;3;0,002883785;5;3;3;2;0;0,007020065;9;9;9;0;0;0,018772881;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
28;0,177;0,08500901467505262;3;0;0;0;3;0,002883785;5;3;3;2;0;0,007020065;10;10;10;0;0;0,020964671;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
30;0,188;0,08459182389937137;3;0;0;0;3;0,002883785;6;3;3;2;1;0,008081076;11;11;11;0;0;0,023423488;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
31;0,194;0,08456226415094348;3;0;0;0;3;0,002883785;6;3;3;2;1;0,008081076;12;12;12;0;0;0,025539752;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
32;0,2;0,08394276729559746;3;0;0;0;3;0,002883785;6;3;3;2;1;0,008081076;13;13;13;0;0;0,027834479;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
35;0,208;0,08081113737851309;3;0;0;0;3;0,002883785;8;3;3;2;3;0,009974424;14;14;14;0;0;0,02998635;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
37;0,218;0,08037089571841316;3;0;0;0;3;0,002883785;9;3;3;2;4;0,010987885;15;15;15;0;0;0,032116149;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
38;0,225;0,0797087470449167;3;0;0;0;3;0,002883785;9;3;3;2;4;0,010987885;16;16;16;0;0;0,03435494;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
40;0,232;0,07666729857819832;4;0;0;0;4;0,003777049;9;3;3;2;4;0,010987885;17;17;17;0;0;0,036394333;2;0;0;2;0;0,00338191;1;1;1;0;0;0,006676024;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
41;0,242;0,07663949447077334;4;0;0;0;4;0,003777049;9;3;3;2;4;0,010987885;17;17;17;0;0;0,036394333;2;0;0;2;0;0,00338191;2;2;2;0;0;0,012489871;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
42;0,252;0,0764884676145331;4;0;0;0;4;0,003777049;9;3;3;2;4;0,010987885;18;18;18;0;0;0,038581078;2;0;0;2;0;0,00338191;2;2;2;0;0;0,012489871;4;0;0;0;4;0,003850994;2;1;1;1;0;0,006572459;1;0;0;1;0;0,05374324;
46;0,262;0,0764821484992092;4;0;0;0;4;0,003777049;10;3;3;2;5;0,012051523;18;18;18;0;0;0,038581078;2;0;0;2;0;0,00338191;2;2;2;0;0;0,012489871;6;0;0;0;6;0,005693478;3;2;2;1;0;0,010162652;1;0;0;1;0;0,05374324;
49;0,271;0,07595703001579668;4;0;0;0;4;0,003777049;10;3;3;2;5;0,012051523;19;19;19;0;0;0,040832779;3;0;0;3;0;0,004969182;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;3;2;2;1;0;0,010162652;1;0;0;1;0;0,05374324;
51;0,281;0,07592669826224219;4;0;0;0;4;0,003777049;11;3;3;2;6;0,013074647;20;20;20;0;0;0,042878105;3;0;0;3;0;0,004969182;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;3;2;2;1;0;0,010162652;1;0;0;1;0;0,05374324;
52;0,288;0,075908794102158;4;0;0;0;4;0,003777049;11;3;3;2;6;0,013074647;21;21;21;0;0;0,04502637;3;0;0;3;0;0,004969182;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;3;2;2;1;0;0,010162652;1;0;0;1;0;0,05374324;
53;0,295;0,07590837282780305;4;0;0;0;4;0,003777049;11;3;3;2;6;0,013074647;22;22;22;0;0;0,047259223;3;0;0;3;0;0,004969182;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;3;2;2;1;0;0,010162652;1;0;0;1;0;0,05374324;
54;0,303;0,07590331753554402;4;0;0;0;4;0,003777049;11;3;3;2;6;0,013074647;23;23;23;0;0;0,04988775;3;0;0;3;0;0,004969182;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;3;2;2;1;0;0,010162652;1;0;0;1;0;0,05374324;
62;0,326;0,07589805160610752;4;0;0;0;4;0,003777049;12;3;3;2;7;0,014165081;27;23;23;4;0;0,059088771;5;0;0;5;0;0,008130994;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;4;3;3;1;0;0,014066504;1;0;0;1;0;0,05374324;
72;0,356;0,07588520273828225;4;0;0;0;4;0,003777049;13;3;3;2;8;0,015183116;34;23;23;11;0;0,074059482;5;0;0;5;0;0,008130994;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;6;4;4;2;0;0,021860181;1;0;0;1;0;0,05374324;
74;0,364;0,07588436018957245;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;35;24;24;11;0;0,076170746;5;0;0;5;0;0,008130994;2;2;2;0;0;0,012489871;7;0;0;0;7;0,006586516;6;4;4;2;0;0,021860181;1;0;0;1;0;0,05374324;
75;0,373;0,07575587151132057;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;35;24;24;11;0;0,076170746;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;6;4;4;2;0;0,021860181;1;0;0;1;0;0,05374324;
77;0,384;0,0723678015307454;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;36;25;25;11;0;0,078707705;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
78;0,389;0,07216447611506804;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;37;26;26;11;0;0,08081019;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
79;0,396;0,07111723409870485;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;38;27;27;11;0;0,083152526;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
80;0,402;0,06808698412698211;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;39;28;28;11;0;0,085330523;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
81;0,408;0,06794222222222002;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;40;29;29;11;0;0,08742639;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
82;0,415;0,06747301587301358;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;41;30;30;11;0;0,089725008;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
83;0,421;0,06672910052909808;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;42;31;31;11;0;0,091764137;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
84;0,427;0,06367944842216655;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;43;32;32;11;0;0,093973489;5;0;0;5;0;0,008130994;3;3;3;0;0;0,018032531;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
87;0,448;0,06305913550782005;5;0;0;0;5;0,004665249;13;3;3;2;8;0,015183116;44;33;33;11;0;0,096012182;6;0;0;6;0;0,009630902;4;3;3;1;0;0,023717943;7;0;0;0;7;0,006586516;7;4;4;3;0;0,025588179;1;0;0;1;0;0,05374324;
