npieces: 5000
capacity: 16014514
1 9818 7900 
2 5379 6304 
3 8636 4318 
4 6096 2447 
5 9902 3928 
6 8957 5086 
7 1574 7497 
8 3656 9552 
9 7531 4913 
10 7911 5566 
11 4195 784 
12 7455 3471 
13 1239 3032 
14 966 7760 
15 1603 8017 
16 9168 8017 
17 6490 3881 
18 5782 3676 
19 6855 5461 
20 1590 7714 
21 4558 7337 
22 595 5300 
23 8112 2240 
24 9948 3483 
25 7309 5337 
26 2523 8020 
27 3892 5198 
28 5636 3212 
29 182 4994 
30 1469 7859 
31 4121 5862 
32 8140 7216 
33 9032 9768 
34 6459 4065 
35 3976 5176 
36 9145 3005 
37 7477 5432 
38 27 4857 
39 5131 4496 
40 1520 4755 
41 2416 9755 
42 5266 14 
43 3006 5330 
44 5863 7466 
45 4959 6355 
46 4679 8079 
47 4433 766 
48 9865 8358 
49 265 7707 
50 8262 9908 
51 9507 9627 
52 6911 2212 
53 1351 5113 
54 4169 3328 
55 824 1677 
56 4054 2924 
57 5047 7725 
58 9200 3135 
59 2052 6160 
60 4751 8222 
61 7044 9537 
62 3594 6791 
63 8414 3964 
64 9226 1527 
65 3983 9512 
66 4921 4728 
67 2109 2081 
68 4842 5419 
69 7001 7808 
70 5954 3342 
71 5613 5434 
72 8659 4154 
73 3653 5634 
74 3482 7195 
75 4859 1372 
76 7230 845 
77 3450 3583 
78 1257 191 
79 4020 3573 
80 3556 4775 
81 6959 2114 
82 4634 2098 
83 3882 6719 
84 7518 4662 
85 4061 4674 
86 8425 3846 
87 1246 9260 
88 8027 5120 
89 80 2286 
90 5939 3687 
91 5158 4377 
92 1274 4089 
93 3990 5489 
94 6409 9644 
95 488 4460 
96 6283 9161 
97 8557 7037 
98 8396 1941 
99 941 9688 
100 4209 200 
101 153 9441 
102 7266 9628 
103 8127 7782 
104 4098 1188 
105 4539 2117 
106 2367 9382 
107 6730 8443 
108 8501 1671 
109 1578 9019 
110 3757 6321 
111 2894 4247 
112 8658 9923 
113 6398 8285 
114 9236 1413 
115 474 2753 
116 7493 2775 
117 2367 8723 
118 9809 7413 
119 8098 7693 
120 9179 4073 
121 1754 7868 
122 1411 9197 
123 9866 2904 
124 5587 4379 
125 1180 7553 
126 8121 9555 
127 5785 8328 
128 4782 2632 
129 452 4247 
130 3605 8663 
131 6663 4878 
132 79 6373 
133 2772 6443 
134 5179 8340 
135 4382 9557 
